City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,New Norfolk,AU,74.91,few clouds,-42.7826,147.0587,Woodbridge on the Derwent
4,Tutoia,BR,77.09,overcast clouds,-2.7619,-42.2744,Pousada San Vicente
5,Atuona,PF,79.12,few clouds,-9.8,-139.0333,Pearl Resort
7,Ballina,AU,82.02,clear sky,-28.8667,153.5667,Ballina Beach Resort
8,Rikitea,PF,78.46,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
12,Mushie,CD,75.15,overcast clouds,-3.0167,16.9,hôtel Mushi
18,Puerto Ayora,EC,73.54,clear sky,-0.7393,-90.3518,Hostal La Mirada De Solitario George
22,Cape Town,ZA,71.38,broken clouds,-33.9258,18.4232,Townhouse Hotel
28,Tevaitoa,PF,80.96,light rain,-16.7833,-151.5,Chambre d'hote
29,Bubaque,GW,76.41,overcast clouds,11.2833,-15.8333,Chez Julio
36,Kavieng,PG,84.27,light rain,-2.5744,150.7967,Kavieng Hotel
41,Kapaa,US,70.12,scattered clouds,22.0752,-159.319,Pono Kai Resort
43,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
48,Hobart,AU,75.27,clear sky,-42.8794,147.3294,Vibe Hotel Hobart
49,Saint-Georges,GD,73.06,clear sky,12.0564,-61.7485,Deyna's City Inn
50,Aquidauana,BR,73.53,clear sky,-20.4711,-55.7872,Hotel Pantaneiro
54,Grand Gaube,MU,84.38,light rain,-20.0064,57.6608,Coco Villa
55,Macae,BR,72.45,overcast clouds,-22.3708,-41.7869,Hotel Plaza
56,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti International Resort
63,Vallam,IN,82.45,few clouds,10.7167,79.0833,Hyder's Park
64,Port Elizabeth,ZA,77.29,few clouds,-33.918,25.5701,Waterford Hotel
65,Kahului,US,71.83,moderate rain,20.8947,-156.47,Maui Seaside Hotel
71,Hithadhoo,MV,81.32,overcast clouds,-0.6,73.0833,Pebbles Inn
72,Hilo,US,72.28,light rain,19.7297,-155.09,Dolphin Bay Hotel
78,San Andres,CO,79.63,few clouds,12.5847,-81.7006,Hotel Decameron Isleño
83,Chuy,UY,72.23,overcast clouds,-33.6971,-53.4616,Alerces
