City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,53.71,62,40,26.46,scattered clouds
1,San Vicente,AR,-26.6167,-54.1333,68.49,56,0,2.59,clear sky
2,Upernavik,GL,72.7868,-56.1549,-9.2,86,100,4.79,overcast clouds
3,New Norfolk,AU,-42.7826,147.0587,74.91,44,11,5.01,few clouds
4,Tutoia,BR,-2.7619,-42.2744,77.09,85,97,8.88,overcast clouds
5,Atuona,PF,-9.8,-139.0333,79.12,79,21,20.71,few clouds
6,Mar Del Plata,AR,-38.0023,-57.5575,69.87,86,4,5.01,clear sky
7,Ballina,AU,-28.8667,153.5667,82.02,84,7,13.31,clear sky
8,Rikitea,PF,-23.1203,-134.9692,78.46,76,90,13.69,light rain
9,Albany,US,42.6001,-73.9662,31.23,78,88,5.37,overcast clouds
10,Fairbanks,US,64.8378,-147.7164,4.08,77,0,8.05,clear sky
11,Barrow,US,71.2906,-156.7887,-16.58,83,0,13.8,clear sky
12,Mushie,CD,-3.0167,16.9,75.15,72,89,5.3,overcast clouds
13,Mataura,NZ,-46.1927,168.8643,67.44,55,5,4.23,clear sky
14,Pankrushikha,RU,53.8319,80.3406,14.49,87,98,18.32,overcast clouds
15,Lagoa,PT,39.05,-27.9833,57.88,74,100,17.07,light rain
16,Carnarvon,AU,-24.8667,113.6333,80.73,62,0,22.44,clear sky
17,Pangody,RU,65.85,74.4859,3.22,98,90,8.21,overcast clouds
18,Puerto Ayora,EC,-0.7393,-90.3518,73.54,95,8,1.01,clear sky
19,Hermanus,ZA,-34.4187,19.2345,63.81,86,100,14.67,light rain
20,Busselton,AU,-33.65,115.3333,79.52,35,2,8.37,clear sky
21,Ushuaia,AR,-54.8,-68.3,47.25,95,99,5.14,overcast clouds
22,Cape Town,ZA,-33.9258,18.4232,71.38,78,72,10.0,broken clouds
23,Khani,GE,41.9563,42.9566,40.57,34,100,6.64,overcast clouds
24,Grindavik,IS,63.8424,-22.4338,39.67,93,100,23.02,light rain
25,Te Anau,NZ,-45.4167,167.7167,69.51,47,4,1.66,clear sky
26,Homer,US,59.6425,-151.5483,36.77,79,100,11.99,overcast clouds
27,Ancud,CL,-41.8697,-73.8203,50.83,82,7,4.18,clear sky
28,Tevaitoa,PF,-16.7833,-151.5,80.96,74,9,12.75,light rain
29,Bubaque,GW,11.2833,-15.8333,76.41,71,98,2.71,overcast clouds
30,Mokhsogollokh,RU,61.4681,128.9203,-35.84,100,99,2.55,overcast clouds
31,Provideniya,RU,64.3833,-173.3,14.94,95,100,15.48,light snow
32,Broome,US,42.2506,-75.833,32.7,72,100,9.22,overcast clouds
33,Lebu,CL,-37.6167,-73.65,54.81,84,0,18.54,clear sky
34,Thompson,CA,55.7435,-97.8558,-23.64,76,40,8.05,light snow
35,Comodoro Rivadavia,AR,-45.8667,-67.5,63.45,50,62,13.51,broken clouds
