City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2023-01-25 00:47:12,-53.15,-70.9167,46.81,77,100,17.34
1,Karauli,IN,2023-01-25 00:47:12,26.5,77.0167,58.23,92,38,1.34
2,Dargaville,NZ,2023-01-25 00:47:12,-35.9333,173.8833,74.46,50,3,13.31
3,Nikolskoye,RU,2023-01-25 00:47:13,59.7035,30.7861,31.91,95,100,7.07
4,Ushuaia,AR,2023-01-25 00:47:13,-54.8,-68.3,49.66,53,40,2.3
5,Bluff,NZ,2023-01-25 00:47:14,-46.6,168.3333,59.2,66,10,6.06
6,Shetpe,KZ,2023-01-25 00:47:14,44.1667,52.1167,23.63,48,36,3.85
7,Albany,US,2023-01-25 00:45:09,42.6001,-73.9662,34.45,82,50,1.01
8,Touros,BR,2023-01-25 00:44:42,-5.1989,-35.4608,78.55,77,14,10.65
9,Sitka,US,2023-01-25 00:42:51,57.0531,-135.33,46.29,87,100,10.36
10,Nanortalik,GL,2023-01-25 00:47:15,60.1432,-45.2371,29.61,86,100,26.51
11,Kruisfontein,ZA,2023-01-25 00:47:16,-34.0033,24.7314,61.88,65,33,7.54
12,Susangerd,IR,2023-01-25 00:47:16,31.5608,48.1831,54.68,57,0,3.65
13,Lagoa,PT,2023-01-25 00:47:17,39.05,-27.9833,59.36,83,39,21.12
14,Hulan,CN,2023-01-25 00:47:17,45.9833,126.6,-11.09,87,100,5.66
15,Ancud,CL,2023-01-25 00:47:18,-41.8697,-73.8203,55.4,74,98,5.01
16,Ossora,RU,2023-01-25 00:46:29,59.2353,163.0719,18.28,91,39,2.06
17,Dikson,RU,2023-01-25 00:45:31,73.5069,80.5464,-2.09,93,100,29.46
18,Bredasdorp,ZA,2023-01-25 00:47:18,-34.5322,20.0403,57.34,62,2,2.71
19,Shakawe,BW,2023-01-25 00:47:19,-18.3667,21.85,67.32,83,100,2.48
20,Mangrol,IN,2023-01-25 00:47:19,21.1167,70.1167,58.64,47,0,12.71
21,Panaba,MX,2023-01-25 00:47:20,21.2833,-88.2667,77.2,69,4,11.14
22,Hilo,US,2023-01-25 00:47:20,19.7297,-155.09,82.13,69,0,12.66
23,Pacific Grove,US,2023-01-25 00:46:09,36.6177,-121.9166,60.91,61,0,3.44
24,Dunedin,NZ,2023-01-25 00:45:59,-45.8742,170.5036,62.87,77,53,11.72
25,Vestmannaeyjar,IS,2023-01-25 00:47:21,63.4427,-20.2734,37.72,80,100,34.72
26,Tuktoyaktuk,CA,2023-01-25 00:47:21,69.4541,-133.0374,-5.8,84,100,14.97
27,Puerto Ayora,EC,2023-01-25 00:42:31,-0.7393,-90.3518,75.54,95,11,1.01
28,Padang,ID,2023-01-25 00:47:22,-0.9492,100.3543,73.45,74,100,3.67
29,Gao,ML,2023-01-25 00:45:41,16.6362,1.637,75.4,15,5,7.0
30,Taoudenni,ML,2023-01-25 00:47:22,22.6783,-3.9836,66.2,15,1,5.99
31,Pombas,CV,2023-01-25 00:47:23,17.1503,-25.0201,64.18,66,45,5.82
32,Esperance,AU,2023-01-25 00:47:23,-33.8667,121.9,68.56,72,5,17.02
33,Hobart,AU,2023-01-25 00:47:23,-42.8794,147.3294,78.06,54,20,9.22
34,Magistralnyy,RU,2023-01-25 00:47:24,56.1725,107.4458,-9.69,99,100,3.09
35,Okhotsk,RU,2023-01-25 00:47:24,59.3833,143.3,-2.47,97,100,13.65
36,Komsomolskiy,UZ,2023-01-25 00:47:25,40.4272,71.7189,20.12,86,100,0.0
37,Conceicao Do Araguaia,BR,2023-01-25 00:47:25,-8.2578,-49.2647,74.44,90,15,0.92
38,Great Falls,US,2023-01-25 00:47:25,47.5002,-111.3008,36.05,62,100,13.8
39,Mareeba,AU,2023-01-25 00:43:29,-17.0,145.4333,86.43,67,65,4.21
40,Khandyga,RU,2023-01-25 00:47:26,62.6667,135.6,-39.39,93,100,0.74
41,Gornyy,RU,2023-01-25 00:47:26,55.1153,83.9059,-4.74,100,100,2.91
42,Maceio,BR,2023-01-25 00:46:14,-9.6658,-35.7353,76.44,88,20,4.61
43,Nekhayevskiy,RU,2023-01-25 00:47:27,50.4106,41.7561,13.32,87,11,2.73
44,Zaoyang,CN,2023-01-25 00:48:27,32.1272,112.7542,26.67,24,100,9.84
45,Nosy Varika,MG,2023-01-25 00:46:17,-20.5833,48.5333,74.21,94,88,2.44
46,Mataura,NZ,2023-01-25 00:47:07,-46.1927,168.8643,73.24,36,31,3.09
47,Olafsvik,IS,2023-01-25 00:48:28,64.8945,-23.7142,32.16,87,98,32.17
48,Batagay-Alyta,RU,2023-01-25 00:48:28,67.8006,130.4114,-44.07,98,34,5.32
49,Nioro,GM,2023-01-25 00:48:28,13.35,-15.75,71.87,59,100,6.53
50,Ko Samui,TH,2023-01-25 00:48:29,9.5357,99.9357,78.71,89,40,0.0
51,Upernavik,GL,2023-01-25 00:48:29,72.7868,-56.1549,10.08,91,100,18.5
52,Namatanai,PG,2023-01-25 00:48:29,-3.6667,152.4333,84.56,67,91,5.99
53,Jijiga,ET,2023-01-25 00:48:30,9.35,42.8,59.07,55,8,0.96
54,New Norfolk,AU,2023-01-25 00:48:30,-42.7826,147.0587,77.72,53,94,1.99
55,Laguna,US,2023-01-25 00:48:30,38.421,-121.4238,60.89,55,0,6.91
56,Severo-Kurilsk,RU,2023-01-25 00:44:33,50.6789,156.125,25.9,95,100,57.49
57,Kapaa,US,2023-01-25 00:48:31,22.0752,-159.319,80.92,82,40,6.91
58,Coquimbo,CL,2023-01-25 00:48:31,-29.9533,-71.3436,64.13,88,0,13.8
59,Narsaq,GL,2023-01-25 00:48:31,60.9167,-46.05,28.62,81,100,15.55
60,San Patricio,US,2023-01-25 00:48:32,28.017,-97.5169,63.54,34,0,16.44
61,Tazovskiy,RU,2023-01-25 00:48:32,67.4667,78.7,-2.54,95,100,15.73
62,Freetown,SL,2023-01-25 00:48:32,8.484,-13.2299,75.96,86,100,4.36
63,Chokurdakh,RU,2023-01-25 00:48:33,70.6333,147.9167,-25.31,96,100,2.37
64,Busselton,AU,2023-01-25 00:46:46,-33.65,115.3333,68.77,49,3,12.5
65,Payo,ID,2023-01-25 00:48:33,-3.7508,103.6372,74.26,95,100,3.09
66,Remedios,CU,2023-01-25 00:48:34,22.4947,-79.5458,74.32,81,2,14.36
67,Carnarvon,AU,2023-01-25 00:48:34,-24.8667,113.6333,83.39,56,1,14.34
68,Codrington,AU,2023-01-25 00:48:34,-38.2667,141.9667,74.73,45,21,9.37
69,Waddan,LY,2023-01-25 00:48:35,29.1614,16.139,52.97,31,0,7.2
70,Ha Giang,VN,2023-01-25 00:48:35,22.8333,104.9833,50.31,74,57,0.27
71,Aasiaat,GL,2023-01-25 00:48:35,68.7098,-52.8699,6.37,94,100,7.34
72,Tambura,SS,2023-01-25 00:48:35,5.6,27.4667,71.6,26,35,4.32
73,Lazaro Cardenas,MX,2023-01-25 00:46:19,17.9583,-102.2,76.33,63,0,7.74
